local authority: district / unitary (as of April 2023),mnemonic,Total_population,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
Medway,E06000035,279771,1863.9,1953.57,15.48,49.14,3.36,118.3,67.59,26.41,236.62
Melton,E07000133,51751,315.51,430.24,2.29,3.1,0.43,2.01,1.08,2.8,44.32
Merthyr Tydfil,W06000024,58847,485.26,365.84,1.97,1.7,0.08,4.48,1.27,3.55,47.42
Merton,E09000024,215188,933.03,1569.71,29.42,195.36,11.68,335.77,9.51,18.67,230.65
Mid Devon,E07000042,82848,577.94,607.26,4,1.7,0.98,2.12,0.45,7.84,81.32
Mid Suffolk,E07000203,102702,692.75,785.07,5.07,2.56,1.33,3.94,0.42,6.63,93.31
Mid Sussex,E07000228,152570,994.73,1132.63,8.94,24.37,5.08,28.52,2.29,17.37,149.75
Middlesbrough,E06000002,143922,812.04,1024.73,6.77,22.25,0.64,227.79,9.39,7.13,119.03
Milton Keynes,E06000042,287057,1687.96,1904.58,21.75,200.02,5.93,317.35,30.35,24.14,255.21
Mole Valley,E07000210,87386,519.98,706.71,5.34,10.01,3.38,16.21,1.83,5.58,84.82
Monmouthshire,W06000021,92961,624.52,701.04,5.25,3.16,1.22,6.74,1.58,8.04,88.62
Neath Port Talbot,W06000012,142290,1099.06,929.15,5.93,6.2,0.5,16.45,2.34,9.76,135.03
New Forest,E07000091,175778,1108.32,1406.23,8.3,4.4,3.63,9.14,1.35,15.59,166.41
Newark and Sherwood,E07000175,122954,784.78,979.47,4.48,3.55,1.39,11.6,2.57,7.96,109.1
Newcastle upon Tyne,E08000021,300131,1897.61,1921.22,20.95,65.25,8.88,416.69,22.45,19.85,276.84
Newcastle-under-Lyme,E07000195,123306,743.78,990.46,7.34,10.81,1.02,34.44,3.9,8.26,110.25
Newham,E09000025,351039,786.95,1917.15,33.46,331.62,6.94,1892.36,87.35,27.34,355.29
Newport,W06000022,159594,1062.23,1057.94,7.42,11.79,1.39,174.76,6.43,11.45,139.08
North Devon,E07000043,98608,689.27,713.12,5.05,2.71,1.39,6.68,0.79,8.8,99.93
North East Derbyshire,E07000038,102000,668.86,804.9,3.08,1.91,0.96,4.68,2.14,6.18,87.53
North East Lincolnshire,E06000012,156966,1131.08,1100.95,6.46,6.58,1.22,29.78,2.84,10.12,142.81
North Hertfordshire,E07000099,133211,918.94,903.53,10.19,22.54,5.72,31.98,35.32,11.36,124.19
North Kesteven,E07000139,118075,722.59,978.31,3.33,3.78,1.04,8.2,1.41,8.46,102.16
North Lincolnshire,E06000013,169674,1016.02,1370.4,6.29,6.48,0.76,65.08,8.77,9.51,145.48
North Norfolk,E07000147,102988,632.16,833.89,5.78,1.16,2.01,2.68,0.26,9.93,107.53
North Northamptonshire,E06000061,359525,2370.33,2669.82,16.96,70.34,4.51,67.75,27.69,29.44,313.14
North Somerset,E06000024,216727,1519.59,1564.6,10.77,7.25,2.57,20.85,1.81,18.06,212.19
North Tyneside,E08000022,208952,1493.69,1507.94,9.09,12.75,1.98,38.99,6.77,11.99,154.21
North Warwickshire,E07000218,65035,384.25,554.29,2.15,2.94,0.4,4.01,4.74,4.18,50.65
North West Leicestershire,E07000134,104706,712.46,796.77,3.42,7.41,0.7,6.49,4.71,7.14,83.07
North Yorkshire,E06000065,615487,3514.94,5305.3,31.53,26.01,9.78,46.23,5.04,42.78,553.98
Northumberland,E06000057,320565,1993.94,2644.09,11.65,6.91,2.66,25.33,10.13,20.96,250.69
Norwich,E07000148,143926,1192.51,749.83,15.23,26.63,5.13,66.45,2.87,19.88,151.21
Nottingham,E06000018,323627,2066.76,1738.27,25.89,83.71,14.58,612.58,63.67,35.06,373.36
Nuneaton and Bedworth,E07000219,134204,786.68,1007.67,11.25,33.85,0.6,61.65,54.67,13.17,109.5
Oadby and Wigston,E07000135,57753,270.21,309.79,2.87,89.04,1.47,100.39,67.27,5.16,48.46
Oldham,E08000004,242081,937.41,1684.35,7.25,18.93,2.26,914.54,2.05,9.13,174.65
Oxford,E07000178,162039,979.15,956.67,18.51,39.09,17.35,218.34,9.28,22.42,249.59
Pembrokeshire,W06000009,123366,821.08,932.25,7.16,2.49,0.9,9.09,0.5,11.56,126.19
Pendle,E07000122,95753,426.45,581.37,3.45,1.08,0.5,385.77,0.54,5.53,78.86
Peterborough,E06000031,215676,1085.5,1546.19,9.56,59.07,2.87,406.51,20.88,15.48,195.27
Plymouth,E06000026,264693,2003.78,1743.32,15.77,12.61,3.21,53.82,1.49,23.66,243.16
Portsmouth,E06000044,208002,1516.52,1269.45,16.69,24.73,3.1,157.62,7.11,19.51,207.8
Powys,W06000023,133174,867.14,1009.09,9.22,4.76,1.25,7.16,1.12,14.49,148.91
Preston,E07000123,147835,603.14,1091.05,6.74,68.14,1.18,369.11,16.9,9.45,124.64
Reading,E06000038,174235,980.48,1068.8,44.73,135.67,5.1,239.84,18.5,19.23,186.87
Redbridge,E09000026,310260,604.2,1463.63,24.96,532.51,99.34,1503.83,273.01,31.42,273.83
Redcar and Cleveland,E06000003,136536,850.87,1121.03,4.34,2.15,0.57,15.24,1.08,7.61,112.29
Redditch,E07000236,87034,539.72,659.19,2.85,4.76,0.81,56.21,4.79,5.95,74.15
Reigate and Banstead,E07000211,150852,890.06,1146.33,10.81,56.39,5.64,71.92,4.88,9.85,141.11
Rhondda Cynon Taf,W06000016,237651,2068.04,1339.71,9.11,7.7,1.12,21.35,3.84,16.78,214.2
Ribble Valley,E07000124,61558,250.11,632.95,2.05,2.76,0.34,12.33,0.37,2.51,50.32
Richmond upon Thames,E09000027,195278,1147.63,1371.96,24.68,64.82,19.55,131.56,30.78,19.72,214.65
Rochdale,E08000005,223775,996.93,1624.26,6.17,9.5,3.38,652.56,2.96,10.46,160.6
Rochford,E07000075,85667,596.42,631.74,3.19,5.69,4.54,6.43,0.68,5.14,73.28
Rossendale,E07000125,70876,440.18,536.21,2.85,1.6,0.99,53.85,0.5,5.16,56.63
Rother,E07000064,93111,586.53,733.93,5.07,3.27,2.62,8.01,0.25,7.96,94.86
Rotherham,E08000018,265806,1639.44,2016.31,8.4,10.32,1.25,208.61,7.14,14.44,212.12
Rugby,E07000220,114366,640.32,894.36,6.82,58.22,1.07,32.67,24.04,9.26,105.01
Runnymede,E07000212,88085,474.91,688.1,7.1,31.43,3.45,39.03,19.66,6.97,93.92
Rushcliffe,E07000176,119078,819.82,812.85,6.23,28.75,4.34,41.47,18.08,9.09,104.17
Rushmoor,E07000092,99758,586.46,653.37,73.31,88.43,0.93,38.14,3.07,19.29,82.48
Rutland,E06000017,41050,236.09,352.12,2.32,1.94,0.82,4,1.04,3.11,34.56
Salford,E08000006,269927,1489.46,1995.21,15.83,32.74,160.7,209.8,11.28,16.55,250.24
Sandwell,E08000028,341835,1380.42,2112.48,14.61,146.36,1.22,708.99,608.12,37.65,286.07
Sefton,E08000014,279231,1237.94,2785.66,10.55,16.96,5.64,34.97,2.06,15.18,217.08
Sevenoaks,E07000111,120516,738.05,967.96,7.19,12.47,3.63,16.86,4.46,6.44,110.03
Sheffield,E08000019,556519,3742.33,3317.52,34.32,58.24,10.05,883.76,14.36,40.82,520.55
Shropshire,E06000051,323608,1852.5,2781.17,13.87,8.63,2.82,26.46,11.77,22.96,293.29
Slough,E06000039,158498,321.1,784.92,12.02,191.22,1.32,722.9,278.63,11.09,132.37
Solihull,E08000029,216236,1100.98,1699.65,9.2,93.53,4.38,178.66,77.91,12.72,173.1
Somerset,E06000066,571550,3675.8,4441.29,29.9,17.09,6.99,40.28,2.93,61.38,579.1
South Cambridgeshire,E07000012,162116,1088.65,1138.22,12.33,37.69,7.22,42.51,4.35,12.67,167.94
South Derbyshire,E07000039,107203,714.95,787.1,3.8,8.75,0.62,12.01,35.06,7.64,91
South Gloucestershire,E06000025,290423,2072.12,1983.27,16.36,44.87,2.68,73.13,15.59,20.43,271
South Hams,E07000044,88628,604.66,650.81,8.37,1.43,1.95,4.57,0.34,11.46,89.45
South Holland,E07000140,95119,487.06,867.96,2.65,3.39,0.96,6.94,1.81,6.44,96.49
South Kesteven,E07000141,143400,834.07,1218.12,5.79,13.22,1.95,11.33,1.84,8.89,126.5
South Norfolk,E07000149,141948,975.75,1042.78,8.12,8.4,3.05,13.31,0.88,10.29,136.6
South Oxfordshire,E07000179,149080,950.38,1151.59,9.57,16.96,5.3,22.32,3.9,10.4,139.28
South Ribble,E07000126,111042,530.45,1063.13,3.59,12.02,0.9,15.91,1.81,5.87,86.53
South Staffordshire,E07000196,110474,556.7,1012.98,4.23,6.83,0.64,13.37,26.59,7.16,83.01
South Tyneside,E08000023,147777,899.27,1205.06,4.09,4.01,0.56,57.88,7.14,8.06,103.37
Southampton,E06000045,248912,1673.2,1547.86,20.65,50.58,3.94,215.24,64.94,25.76,254.26
Southend-on-Sea,E06000033,180685,1257.8,1191.13,14.76,31.87,31.87,84.61,3.14,17.48,166.64
Southwark,E09000028,307641,1734.16,2065.13,45.94,53.36,19.26,459.09,9.79,33.29,346.07
Spelthorne,E07000213,102953,497.5,812.31,10.89,67.73,2.7,64.23,40.47,8.06,91.16
St Albans,E07000240,148173,852.4,1088.29,11.39,42.45,34.66,107.13,8.29,10.98,139.88
St. Helens,E08000013,183245,885.93,1769.25,7.76,9.25,0.98,20.76,0.84,10.1,134.09
Stafford,E07000197,136870,782.05,1152.03,8.83,19.57,0.95,23.05,9.37,10.58,114.01
Staffordshire Moorlands,E07000198,95851,502.98,880.52,2.82,1.8,0.54,4.07,0.96,6.12,85.07
Stevenage,E07000243,89501,622.15,599.75,6.17,21.64,2.53,43.72,4.76,8.1,77.7
Stockport,E08000007,294776,1808.74,2168.2,14.93,37,19.12,253.02,7.79,18.7,239.28
Stockton-on-Tees,E06000004,196594,1190.45,1555.77,8.24,12.56,0.95,103.41,12.12,8.52,153.75
Stoke-on-Trent,E06000021,258375,1509.49,1834.85,12.56,21.01,1.29,368.57,9.33,17.82,227.9
Stratford-on-Avon,E07000221,134727,748.9,1176.45,6.15,9.56,2.76,10.01,8.88,8.82,115.71
Stroud,E07000082,121103,827.68,890.56,8.21,4.31,2.18,6.34,1.22,13.9,121.82
Sunderland,E08000024,274166,1677.24,2258.91,8.35,9.47,1.35,75.08,14.18,12.94,190.13
Surrey Heath,E07000214,90460,504.22,701.27,14.73,31.31,2.2,43.83,16.33,7.68,79.83
Sutton,E09000029,209640,1049.92,1486.67,28.23,227.21,6.31,228.3,6.93,19.27,195.04
Swale,E07000113,151678,1065.64,1108.68,6.29,9.09,1.83,23.69,3.22,10.41,121.01
Swansea,W06000011,238500,1745.81,1525.9,14.59,15.65,2.46,119.2,5.36,18.2,247.65
Swindon,E06000030,233414,1464.96,1685.25,26.34,90.86,2.03,97.76,22.43,23.46,203.03
Tameside,E08000008,231063,1361.95,1712.54,9.11,47.97,1.35,262.52,2.8,13.62,168.03
Tamworth,E07000199,78646,539.92,597.91,3.01,3.36,0.23,5.48,3.42,4.8,60.33
Tandridge,E07000215,87878,529.72,696.48,5.27,15.68,2.35,17.96,1.39,5.28,87.22
Teignbridge,E07000045,134805,936.08,985.31,8.38,1.69,1.81,6.04,0.65,14.8,133.69
Telford and Wrekin,E06000020,185523,1176.89,1367.61,9.25,20.95,1.21,78.13,44.17,14.45,161.87
Tendring,E07000076,148287,992.69,1131.9,6.51,5.42,3.47,10.02,0.98,10.78,135.68
Test Valley,E07000093,130488,821.57,1020.54,9.59,15.72,1.77,18.28,9,9.25,115.93
Tewkesbury,E07000083,94888,600.28,748.99,5.28,10.6,1.08,8.07,1.75,6.18,87.78
Thanet,E07000114,140585,961.38,1017.15,9.26,12.44,4.15,32.98,1.6,13.42,125.72
Three Rivers,E07000102,93774,448.08,691.82,7.53,120.7,22.67,53.57,13.08,13.48,81.83
Thurrock,E06000034,175997,945.71,1408.9,10.89,36.81,3.49,133.02,31.45,13.96,142.47
Tonbridge and Malling,E07000115,132196,875.58,997.82,6.99,18.08,2.53,21.4,3.72,7.87,114.16
Torbay,E06000027,139324,932.31,1047.83,8.57,3.45,2.18,12.21,0.93,15.12,135.89
Torfaen,W06000020,92274,726.17,593.78,4.03,3.92,0.22,5.62,0.96,7.59,87.24
Torridge,E07000046,68122,457.68,514.11,3.28,0.53,0.7,1.67,0.29,6.69,70.32
Tower Hamlets,E09000030,310303,1280.23,1072.44,45.87,97.57,20.78,1919.72,14.97,25.59,330.27
Trafford,E08000009,235063,1206.31,1761.69,14.8,72.13,37.31,318.36,30.74,14.25,186.02
Tunbridge Wells,E07000116,115311,720.1,887.07,7.5,17.27,3.47,29.5,1.25,8.64,111.66
Uttlesford,E07000077,91340,587.42,710.34,5.72,6.49,5.44,10.36,1.55,5.87,81.92
Vale of Glamorgan,W06000014,131935,978.57,902.24,6.51,6.82,2.22,18.67,2.28,9.93,116.91
Vale of White Horse,E07000180,138910,896.93,1044.87,11.7,18.48,4.15,30.71,3.87,10.63,130.79
Wakefield,E08000036,353375,2261.14,2681.3,12.35,19.68,1.97,174.74,7.76,21.77,293.93
Walsall,E08000030,284130,1329.56,1966.33,8.26,78.95,1.15,497.42,265.67,25.69,228.79
Waltham Forest,E09000031,278429,1204.38,1682.96,28.41,79.86,19.64,931.99,19.91,43.53,302.85
Wandsworth,E09000032,327506,1836.54,2163.63,35.25,99.45,27.2,503.8,14.98,28.99,364.08
Warrington,E06000007,210969,1131.61,1853.69,9.37,23.16,2.94,57.11,7.41,12.3,170.95
Warwick,E07000222,148452,919.28,1025.98,9.2,57.99,4.31,34.75,97.59,11.99,138.83
Watford,E07000103,102244,392.58,704.09,15.82,130.11,14.63,205.46,10.29,13.31,97.77
Waverley,E07000216,128231,774.43,1031.88,8.74,7.02,4.11,23.32,1.81,9.34,125.95
Wealden,E07000065,160146,1043.98,1227.62,8.21,5.9,4.83,12.46,0.81,20.11,157.23
Welwyn Hatfield,E07000241,119839,686.43,875.89,13.79,58.98,16.93,60.78,6.97,12.69,124.11
West Berkshire,E06000037,161447,1027,1227.28,8.55,32.27,3.66,32.64,5.69,10.92,153.24
West Devon,E07000047,57093,368.01,444.84,3.24,0.5,0.98,2.2,0.14,7.08,57.59
West Lancashire,E07000127,117427,573.5,1119.63,4.06,3.73,1.08,7.85,1.46,5.53,102.39
West Lindsey,E07000142,95152,559.45,806.56,3.42,4.49,0.7,5.93,2.01,7.45,84.12
West Northamptonshire,E06000062,425726,2521.43,3262.01,23.47,84.14,6.66,227.65,27.75,37.28,405.19
West Oxfordshire,E07000181,114233,718.75,910.98,6.71,4.31,2.9,11.73,0.96,9.36,104.13
West Suffolk,E07000245,179951,1186.69,1350.55,12.55,10.36,3.07,28.91,1.7,14.98,179
Westminster,E09000033,204240,820.12,1181.23,40.33,69.05,87.19,633.23,8.88,26.97,297.13
Westmorland and Furness,E06000064,226587,1312.19,1938.18,13.32,3.53,2.17,12.38,0.67,14.78,213.26
Wigan,E08000010,329329,1545.91,3204.95,12.87,15.42,1.3,64.37,1.89,17.03,238.43
Wiltshire,E06000054,510336,3262.75,3968.58,39.06,41.37,7.1,54.35,7.48,49.95,475.76
Winchester,E07000094,127448,832.76,959.73,12.22,14.69,3.39,14.01,2.91,10.43,124.3
Windsor and Maidenhead,E06000040,153495,738.08,1185.4,13.48,72.91,8.07,133.34,69.98,10.75,146.03
Wirral,E08000015,320199,1850.54,2729.16,15.72,21.78,3.97,50.46,4.82,19.49,264.8
Woking,E07000217,103940,535.64,766.34,9.95,38.55,3.45,150.74,4.42,7.78,93.48
Wokingham,E06000041,177499,1013.65,1229.94,13.65,131.13,6.74,133.19,46.35,12.01,163.35
Wolverhampton,E08000031,263730,1135.87,1791.56,14.18,153.1,1.46,224.47,492.18,48.93,224.1
Worcester,E07000237,103866,636.5,786.33,5.69,6.71,0.79,65.49,2.6,6.99,98.15
Worthing,E07000229,111338,788.5,757.54,10.91,11.45,4.24,29.62,1.92,12.05,108.65
Wrexham,W06000006,135115,874.97,1036.14,6.26,5.16,0.79,23.86,1.21,7.95,136.97
Wychavon,E07000238,132495,718.25,1184.98,5.17,3.14,1.74,11.22,5.25,8.57,114.3
Wyre,E07000128,111949,584.38,1037.59,4.55,2.84,1.32,7,0.4,7.39,88.8
Wyre Forest,E07000239,101609,608.18,839.39,3.63,1.95,0.65,16.36,3.97,7.31,92.72
York,E06000014,202821,1449.75,1379.13,16.19,16.16,4.23,38.55,2.77,19.61,215.81
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,,,,,,
,affected.,,,,,,,,,,
